4	53	1
5	63	1
10	59	1
9	77	1
13	49	1
13	69	1
12	88	1
15	75	1
18	61	1
19	65	1
22	74	1
27	72	1
28	76	1
24	58	1
27	55	1
28	60	1
30	52	1
31	60	1
32	61	1
36	72	1
28	147	2
32	149	2
35	153	2
33	154	2
38	151	2
41	150	2
38	145	2
38	143	2
32	143	2
34	141	2
44	156	2
44	149	2
44	143	2
46	142	2
47	149	2
49	152	2
50	142	2
53	144	2
52	152	2
55	155	2
54	124	2
60	136	2
63	139	2
86	132	3
85	115	3
85	96	3
78	94	3
74	96	3
97	122	3
98	116	3
98	124	3
99	119	3
99	128	3
101	115	3
108	111	3
110	111	3
108	116	3
111	126	3
115	117	3
117	115	3
70	4	4
77	12	4
83	21	4
61	15	4
69	15	4
78	16	4
66	18	4
58	13	4
64	20	4
69	21	4
66	23	4
61	25	4
76	27	4
72	31	4
64	30	4
